gutenberg_id,title,authors,languages,subjects,bookshelves,download_count,copyright
71865,Mrs. Dalloway,"Woolf, Virginia",en,"Domestic fiction, London (England) -- Fiction, Married women -- Fiction","Category: British Literature, Category: Classics of Literature, Category: Novels",5816,false
1754,The Sea-Gull,"Chekhov, Anton Pavlovich",en,"Authors, Russian -- 19th century -- Drama, Man-woman relationships -- Drama, Russia -- Social life and customs -- Drama","Category: Plays/Films/Dramas, Category: Russian Literature",5807,false
8581,"The art of money getting : $b or, golden rules for making money","Barnum, P. T. (Phineas Taylor)",en,"Success, Success in business","Category: Business/Management, Category: How To ...",5792,false
22367,Die Verwandlung,"Kafka, Franz",de,"Metamorphosis -- Fiction, Psychological fiction","Category: German Literature, Category: Novels, DE Prosa",5789,false
2383,"The Canterbury Tales, and Other Poems","Chaucer, Geoffrey",en,"Chaucer, Geoffrey, -1400, Christian pilgrims and pilgrimages -- Poetry, English poetry -- Middle English, 1100-1500","Best Books Ever Listings, Category: British Literature, Category: Classics of Literature",5784,false
29728,Cookery and Dining in Imperial Rome,Apicius,en,"Cookbooks, Cooking, Roman -- Early works to 1800","Category: Cooking & Drinking, Category: History - Ancient, Cookbooks and Cooking",5778,false
38326,Bede's Ecclesiastical History of England,"Bede, the Venerable, Saint",en,England -- Church history -- 449-1066,"Category: History - British, Category: History - Religious",5777,false
26659,"The Will to Believe, and Other Essays in Popular Philosophy","James, William",en,"Belief and doubt, Essays, Philosophy","Category: Essays, Letters & Speeches, Category: Philosophy & Ethics, Category: Religion/Spirituality",5774,false
8710,"The Doré Bible Gallery, Complete: Containing One Hundred Superb Illustrations, and a Page of Explanatory Letter-press Facing Each",Unknown,en,Bible -- Illustrations,"Category: Art, Category: Religion/Spirituality",5733,false
41537,The Divine Comedy of Dante Alighieri: The Inferno,Dante Alighieri,en,"Epic poetry, Italian -- Translations into English, Hell, Italian poetry -- To 1400 -- Translations into English","Category: Classics of Literature, Category: Poetry, Italy",5733,false
228,The Aeneid,Virgil,en,"Aeneas (Legendary character) -- Poetry, Epic poetry, Latin -- Translations into English, Legends -- Rome -- Poetry","Best Books Ever Listings, Category: Classics of Literature, Category: Mythology, Legends & Folklore",5713,false
